accel_variance,gyro_variance,accel_sma,gyro_sma,accel_dom_freq,gyro_dom_freq,activity_code,activity_name
10.743301667399658,0.1945246994949043,4.177442027993652,0.8838270597165683,0.5,0.5,2,Jumping
15.050534436935564,0.28633512239690573,9.61787888697719,1.4250832575990353,0.5,0.5,2,Jumping
9.416049013090905,0.259559499546202,10.526779976370285,1.4478638756426516,4.0,4.0,2,Jumping
8.467220531168751,0.19283237225980807,9.77669744148123,1.2107291976478882,3.5,2.0,2,Jumping
8.312392930005053,0.193004862658753,9.646012481462922,1.3173476387104892,3.5,2.0,2,Jumping
5.188752956687827,0.21462599673573832,8.420948819306581,1.4180939151217171,4.0,4.0,2,Jumping
4.891518414631804,0.18633734458586232,8.126625567254706,1.2617900731175906,3.5,0.5,2,Jumping
4.506976945989112,0.14340736036960755,7.886293980185356,1.1690360969532048,3.5,3.0,2,Jumping
5.8526577816440515,0.2505095725749468,8.715516383881356,1.7844613685645163,3.5,3.5,2,Jumping
5.882893434350849,0.18176699876842403,9.234201112752043,1.4719636515853927,3.5,3.5,2,Jumping
6.177436797699982,0.14865972826373228,9.31120346181823,1.3214436973398551,4.0,4.0,2,Jumping
6.203860005973641,0.19058277576845728,8.826009854875396,1.3094691187655554,3.5,3.0,2,Jumping
6.310132306163308,0.21505594058232774,8.89393661212628,1.419345539989881,4.0,3.5,2,Jumping
6.9063931999139445,0.18926648041616484,8.895898546423275,1.405369449214486,3.5,2.0,2,Jumping
5.501203999373308,0.18147561205571858,8.657551621414632,1.4177775668198591,3.5,1.5,2,Jumping
4.6460577705544175,0.17084017428943823,8.56300593750617,1.4785195708461105,3.5,5.5,2,Jumping
6.492831186024569,0.1690271181166815,9.382121834660225,1.5192180737573653,3.5,2.5,2,Jumping
6.06235782778539,0.15014317911903785,9.384514260926473,1.352647052127868,3.5,7.0,2,Jumping
6.481348024423374,0.17466463604503615,9.508427021204156,1.3078748614527285,3.5,3.5,2,Jumping
6.901215997211739,0.15633680662886784,9.28977847684542,1.2474487509508618,3.5,4.0,2,Jumping
7.323570812357172,0.15849059947841768,9.109153293025987,1.2810209634923375,3.5,2.0,2,Jumping
6.761659856747062,0.18400612843692488,8.972321881165952,1.3498998398007824,3.5,1.5,2,Jumping
5.9520415773837065,0.16908953731288437,8.464705904206234,1.3985196216171607,3.5,9.0,2,Jumping
7.945892788312602,0.18450166934547474,9.250772517839223,1.4364730025362222,3.5,5.5,2,Jumping
4.02395931675436,0.3139322529031299,8.12590262574097,1.6781411386467517,3.5,5.5,2,Jumping
3.8570051126341167,0.28263124190651834,8.047518885911025,1.4936328228097409,3.5,3.5,2,Jumping
5.682925468737732,0.19628220067156815,8.425503634391035,1.3795335119054652,3.5,3.5,2,Jumping
9.6800856288943,0.12140241076475894,10.64709689265098,1.3719529082183726,3.5,2.0,2,Jumping
11.880971224541698,0.23511059321358616,12.286873451865016,1.7140626587625594,4.0,2.0,2,Jumping
12.780416718137758,0.26084681053092984,11.893743968775777,1.842478046878241,4.0,6.0,2,Jumping
8.96315335236103,0.3527457685284046,10.823546956302373,1.776891857014416,4.0,2.5,2,Jumping
5.58669058509338,0.40075307585508085,9.303677843227211,1.8010421470172877,4.0,2.5,2,Jumping
5.262442942622557,0.3312834064236954,8.346714853314236,1.6544177527239663,4.0,1.5,2,Jumping
5.031880404021302,0.23966126901652063,2.5401474060794325,0.7507970252505038,0.5,0.5,2,Jumping
12.46034153216656,0.3967036123081293,6.504949145557313,1.2208398693299387,0.5,0.5,2,Jumping
