time,seconds_elapsed,z,y,x
1772794504819936800,0.076936767578125,0.3293313230872154,-0.1255311355778016,0.002727817528694868
1772794504829981700,0.086981689453125,0.18183774561882018,-0.11937007393110542,-0.012668927437067032
1772794504840027000,0.09702685546875,0.035547114199399946,-0.10146288051437585,0.011282733775675296
1772794504850070800,0.10707080078125,-0.13650865759551525,-0.09599946400932967,0.028698855739831924
1772794504860115700,0.11711572265625,-0.27995149836838246,-0.030826825945544985,0.041014001303166146
1772794504870159600,0.12715966796875,-0.3070189535140991,0.010183640826819464,-0.031008009465038774
1772794504880204800,0.137204833984375,-0.2660843010574579,-0.03660927267135121,-0.006611380963772535
1772794504890249700,0.147249755859375,-0.221890939065814,-0.06614175709057599,0.016257745709270237
1772794504900294700,0.157294677734375,-0.19774492432475088,-0.127119436815707,-0.01236073827072978
1772794504910338600,0.167338623046875,-0.19256196872889994,-0.19930892223846167,-0.06012246026843786
1772794504920383700,0.1773837890625,-0.2176426339715719,-0.26215543717592954,-0.10302841279804706
1772794504930428700,0.1874287109375,-0.32165655067563054,-0.29497835057582705,-0.13465017024725676
1772794504940472800,0.197472900390625,-0.3880880479604006,-0.2582377522755414,-0.14740721435919404
1772794504950517800,0.207517822265625,-0.4225350919634103,-0.19324969526473432,-0.12678966600522398
1772794504960562700,0.217562744140625,-0.34962884570658204,-0.159750343907997,-0.11044687236100435
1772794504970606800,0.22760693359375,-0.2676490661561489,-0.1763409200345166,-0.13247107264250516
1772794504980651800,0.23765185546875,-0.2024678611934185,-0.17503113434389234,-0.13304565766006707
1772794504990696700,0.24769677734375,-0.11941431493163109,-0.20016689077466726,-0.20761530708447098
1772794505000740900,0.257740966796875,0.01308159989118576,-0.2551511479044333,-0.2643520704373717
1772794505010785800,0.267785888671875,0.1475783331423998,-0.2996943097144365,-0.23813100298792123
1772794505020830700,0.277830810546875,0.21354922717809677,-0.3271525908086449,-0.18427549415975808
1772794505030874600,0.28787451171875,0.22439561536312103,-0.2997508622072637,-0.13950491680204868
1772794505040919800,0.297919921875,0.19867314508557318,-0.23651392318010328,-0.15720307057797908
1772794505050964700,0.30796484375,0.17542554048895834,-0.19870644456697625,-0.157587393720448
1772794505061008600,0.318008544921875,0.1251560734540224,-0.1828009463614784,-0.10818886430114508
1772794505071053800,0.3280537109375,0.1104290444433689,-0.19698751181988045,-0.04852291562855243
1772794505081098800,0.3380986328125,0.13818565089702606,-0.18635831004949285,0.026823124995827674
1772794505091142700,0.348142578125,0.08559913909137248,-0.10921214293427765,0.1128209080159664
1772794505101187600,0.3581875,-0.0005219780474901199,0.013869781993655487,0.22466332638859748
1772794505111232800,0.368232666015625,-0.2039835264533758,0.10641210955274291,0.2967157322950661
1772794505121277000,0.37827685546875,-0.348237683609128,0.1747008429436013,0.3111443628810346
1772794505131321600,0.388321533203125,-0.3954448404639959,0.24486772736441342,0.2543175831571221
1772794505141366800,0.39836669921875,-0.3681523443907499,0.24585969754382966,0.2084552650399506
1772794505151411000,0.408410888671875,-0.25397651463449,0.21598346858769654,0.21603972881957886
1772794505161455600,0.41845556640625,-0.10984276898801326,0.1609469150151126,0.24893676690161226
1772794505171500800,0.428500732421875,-0.015364157870411873,0.09157788470741361,0.21235475669652223
1772794505181544700,0.438544677734375,-0.018736849173903464,0.05983893061932176,0.19592399250790477
1772794505191590000,0.44858984375,-0.1264022741228342,0.027642021896969526,0.1853711804419756
1772794505201634600,0.458634521484375,-0.26952830403149125,0.06369018095368519,0.1286347093500197
1772794505211678700,0.4686787109375,-0.28953239666223524,0.08618493962269276,0.11800897817835211
1772794505221724000,0.478723876953125,-0.2175999638736248,0.056174179300386456,0.13180647125393152
1772794505231768800,0.488768798828125,-0.07311258248388766,0.00013330752346664667,0.12546192453280092
1772794505241812700,0.498812744140625,0.04568915350735187,-0.09056567545756697,0.14646744929105043
1772794505251857700,0.508857666015625,0.09295651611685753,-0.20964878567345438,0.13487345760911704
1772794505261902800,0.51890283203125,0.07888122901320457,-0.2621323485612869,0.07229790510013699
1772794505271946800,0.52894677734375,0.09203180248737335,-0.28628457384742795,0.00286737212985754
1772794505281991700,0.53899169921875,0.05030804547965526,-0.31678741026930507,-0.004958645320683718
1772794505292036900,0.549036865234375,-0.030233225700259207,-0.3602774462971836,-0.018799539146572352
1772794505302080500,0.55908056640625,-0.13717559707164764,-0.34810386462900783,-0.052236383193731306
1772794505312125700,0.569125732421875,-0.1024953288346529,-0.2605635283419862,-0.10703253387287258
1772794505322170600,0.579170654296875,-0.004345335727930068,-0.21160817611292004,-0.20314415301978586
1772794505332214800,0.58921484375,0.12099836925268173,-0.14597115367408842,-0.2252778050251305
1772794505342259700,0.599259765625,0.14140461294353007,-0.08501954910513013,-0.20997838295400142
1772794505352304600,0.6093046875,0.0734860919713974,-0.06222253782022744,-0.21987477693781254
1772794505362348800,0.619348876953125,-0.00012625672817230223,0.03992142029348761,-0.23594036107584831
1772794505372393700,0.629393798828125,-0.029689620342850682,0.1487740092003718,-0.25269845752269027
1772794505382438700,0.639438720703125,-0.001762333497405052,0.21902966788318007,-0.2081954450599849
1772794505392482800,0.64948291015625,0.03853928175270557,0.26153635542951525,-0.08384834990128874
1772794505402527700,0.65952783203125,0.1389817697107792,0.30985308096148073,-0.014433160630613565
1772794505412572700,0.66957275390625,0.2953898905187845,0.3389925200756639,0.04029620842263102
1772794505422616800,0.679616943359375,0.3917319574207067,0.3931764571405947,0.10044204956665634
1772794505432661800,0.689661865234375,0.3687158234924078,0.3954221171755343,0.15870996800959108
1772794505442707000,0.69970703125,0.2884083610683679,0.46933038008175787,0.22647870524749159
1772794505452750600,0.70975048828125,0.20001579186618326,0.5372040389988572,0.29590324686840175
1772794505462795800,0.719795654296875,0.13991934282183646,0.4976085261914879,0.3281006853137165
1772794505472840700,0.7298408203125,0.10672785183787345,0.38113311425596474,0.3106348059237003
1772794505482884600,0.739884521484375,0.10693360354304313,0.26584165140800176,0.2599509128689766
1772794505492929800,0.7499296875,0.14890402878820896,0.15013452043123543,0.18150960964299737
1772794505502974700,0.759974609375,0.11099895328581333,0.05142937765978276,0.13182963293381034
1772794505513019000,0.770018798828125,0.05330021303296089,0.011503829180449246,0.09257029327824712
1772794505523063600,0.7800634765625,0.07790975363254547,-0.003167524120211601,-0.012926993851363658
1772794505533108700,0.790108642578125,0.07994447433054447,-0.07736760957986116,-0.07570990550071001
1772794505543153000,0.80015283203125,0.0890489872843027,-0.1960850282885134,-0.1583387235444039
1772794505553197600,0.810197509765625,0.12744447665214537,-0.21839045666418969,-0.31765878627635535
1772794505563242800,0.82024267578125,0.03035948242843151,-0.18075046183876692,-0.32753333375453947
1772794505573286700,0.83028662109375,-0.08274199609458446,-0.1250818391740322,-0.2424048809148371
1772794505583331800,0.840331787109375,-0.08316460542082786,-0.1396548466667533,-0.2659687118537724
1772794505593376500,0.85037646484375,-0.0032312370061874387,-0.13469196356236934,-0.3626813656337559
1772794505603420700,0.860420654296875,0.07120528755784035,-0.18383710274249315,-0.44180414831787346
1772794505613465900,0.8704658203125,0.1818967823296785,-0.269442963835597,-0.4272353786088526
1772794505623510800,0.8805107421875,0.22986264859735964,-0.27470073823332786,-0.378881535936892
1772794505633555700,0.8905556640625,0.1635842960476875,-0.1928073217920959,-0.32279490705579517
1772794505643600000,0.900599853515625,0.046288872966170305,-0.04359788031652569,-0.2477143854998052
1772794505653644800,0.910644775390625,-0.0985036288499832,0.1035411115605384,-0.13253697748556734
1772794505663689700,0.920689697265625,-0.2961176202714443,0.22317118813470005,0.161575732704252
1772794505673733600,0.930733642578125,-0.35873978840112686,0.5234506773259491,-0.04822539398670196
1772794505683778800,0.94077880859375,-0.13255904318690298,0.7997611157782375,0.19082827680408954
1772794505693823700,0.95082373046875,0.1690752946794033,0.8769757267534732,0.4603121571719646
1772794505703867600,0.96086767578125,0.30001462770998477,0.8118279126036911,0.6498220448538661
1772794505713912800,0.970912841796875,0.22946458919048307,0.7620289126247167,0.7168088379338383
1772794505723957800,0.980957763671875,0.16910276720821857,0.846205983023718,0.659022784723714
1772794505734002000,0.991001953125,0.008256956213712691,0.9199883545279502,0.5303340801641345
1772794505744046800,1.001046875,-0.1343015029400587,0.9250210879981517,0.4339372143350541
1772794505754092000,1.011092041015625,-0.3225958773523569,0.7458410172812641,0.3655316404983401
1772794505764136000,1.021135986328125,-0.43351007496416566,0.5602114050988107,0.29235490673705933
1772794505774180900,1.031180908203125,-0.2056611042767763,0.4466339065618813,0.2456006082162261
1772794505784226000,1.04122607421875,0.0632207185447216,0.21440708611644804,0.19393983295336364
1772794505794269700,1.051269775390625,0.2679483413636684,0.042443157323449845,0.13348390294685958
1772794505804315000,1.06131494140625,0.4082166437536478,0.06109656599760055,0.11695946912541985
1772794505814359800,1.07135986328125,0.39382980648279187,0.09113529203906655,0.1471450562916696
1772794505824403700,1.08140380859375,0.2666869431257248,0.07417787362784146,0.13182166882306337
1772794505834449000,1.091448974609375,0.3157207308858633,0.14094664004296065,0.16404562994912267
1772794505844493800,1.101493896484375,0.42403848226368424,0.09941577525883913,0.20744652638882397
1772794505854538000,1.1115380859375,0.4831067573040724,-0.03321794059947133,0.22855390408635137
1772794505864582700,1.121582763671875,0.46404900561273094,-0.18332433091476558,0.19984204273447392
1772794505874627800,1.1316279296875,0.35552959418296814,-0.29364304685145615,0.010823153439909219
1772794505884672000,1.141672119140625,0.15312193874418734,-0.36616445850916207,-0.18372370549589395
1772794505894717000,1.151717041015625,0.04180208294093608,-0.5243871544584632,-0.31853841865509747
1772794505904761900,1.161761962890625,0.038866614010930056,-0.6669111998859792,-0.3304040668852627
1772794505914806000,1.171805908203125,0.06380290234684943,-0.8114352600242942,-0.3800440038450062
1772794505924851000,1.181850830078125,0.052363224443793294,-0.8418179771978408,-0.5394013298474252
1772794505934895900,1.191895751953125,0.030137364110350607,-0.7536807709962129,-0.5843985555678606
1772794505944939800,1.201939697265625,-0.05238251366615295,-0.8469381697557866,-0.5120855990290641
1772794505954985000,1.21198486328125,-0.06245908652245998,-0.949506125435233,-0.29670857190191746
1772794505965030000,1.22202978515625,-0.040973230901360506,-0.7736345216792077,-0.6368949048720299
1772794505975073800,1.23207373046875,0.00580839401781559,-0.900701908647269,-0.7322887311384081
1772794505985119000,1.242118896484375,-0.006454290705919265,-1.2382850733816624,-0.697009766355902
1772794505995164000,1.252163818359375,0.03779576990902424,-0.7600019368417561,-0.3881220963604748
1772794506005207800,1.262207763671875,0.097519293987751,-0.2820662255000323,0.1748709753461182
1772794506015252700,1.272252685546875,0.12207388952970503,-0.04714724336117506,0.48653351688235996
1772794506025298000,1.2822978515625,0.13448153568208218,0.0868947318598628,0.5284441747643053
1772794506035342000,1.292342041015625,0.1644704312324524,0.03236870335899293,0.5061440801508724
1772794506045386800,1.30238671875,0.09901800811290741,-0.10411986129656434,0.4289418902657926
1772794506055432000,1.312431884765625,0.1007657285630703,-0.11971585516147315,0.43297450678274035
1772794506065475800,1.322475830078125,0.05375029488801956,-0.11567388629429042,0.42102497966140506
1772794506075520800,1.332520751953125,0.004378653475642204,-0.11669438844844698,0.359887351001054
1772794506085565700,1.342565673828125,-0.13429507319927214,-0.12403802920952439,0.32852541353181003
