time,seconds_elapsed,z,y,x
1772794780950318600,0.065318603515625,-0.48256853222846985,-0.3281208872795105,-0.21022145450115204
1772794780960363500,0.075363525390625,-0.49588778614997864,-0.33491456508636475,-0.17843955755233765
1772794780970407400,0.085407470703125,-0.5066559910774231,-0.32316067814826965,-0.12501156330108643
1772794780980451600,0.09545166015625,-0.525057852268219,-0.324478417634964,-0.07860146462917328
1772794780990496500,0.10549658203125,-0.5498137474060059,-0.34553298354148865,-0.051736846566200256
1772794781000541200,0.115541259765625,-0.5820363759994507,-0.3859666883945465,-0.044510893523693085
1772794781010586400,0.12558642578125,-0.6168634295463562,-0.43090733885765076,-0.05369509011507034
1772794781020630000,0.135630126953125,-0.6441003680229187,-0.46959826350212097,-0.06369233131408691
1772794781030674200,0.145674072265625,-0.6633506417274475,-0.4878118932247162,-0.058650124818086624
1772794781040719400,0.15571923828125,-0.6816633343696594,-0.49509403109550476,-0.05821389704942703
1772794781050763000,0.165762939453125,-0.6992540955543518,-0.4975634515285492,-0.05932164192199707
1772794781060808200,0.17580810546875,-0.7087173461914062,-0.5124099850654602,-0.08165358006954193
1772794781070852400,0.185852294921875,-0.7208452820777893,-0.5430788397789001,-0.13432523608207703
1772794781080896300,0.195896240234375,-0.7345438003540039,-0.5811622738838196,-0.18980127573013306
1772794781090941200,0.205941162109375,-0.7487114667892456,-0.5987996459007263,-0.22912682592868805
1772794781100985300,0.2159853515625,-0.8239332437515259,-0.5839788913726807,-0.22866477072238922
1772794781111030000,0.226030029296875,-0.8823598027229309,-0.5671554803848267,-0.17567208409309387
1772794781121074200,0.23607421875,-0.876291811466217,-0.5332404375076294,-0.09370371699333191
1772794781131118000,0.2461181640625,-0.819446325302124,-0.5624048709869385,-0.04652801528573036
1772794781141163000,0.2561630859375,-0.7998079061508179,-0.5878511071205139,-0.027307715266942978
1772794781151207200,0.266207275390625,-0.8216750621795654,-0.6025919318199158,-0.032694511115550995
1772794781161252400,0.27625244140625,-0.8521708846092224,-0.6062031984329224,-0.04758664220571518
1772794781171296000,0.2862958984375,-0.8665497303009033,-0.589686930179596,-0.08512931317090988
1772794781181340200,0.296340087890625,-0.8656426668167114,-0.5407726764678955,-0.1245797872543335
1772794781191385300,0.30638525390625,-0.8656827807426453,-0.4440377652645111,-0.15771526098251343
1772794781201429200,0.31642919921875,-0.8755521774291992,-0.3364916145801544,-0.18378333747386932
1772794781211474200,0.32647412109375,-0.889708399772644,-0.26311367750167847,-0.2091977447271347
1772794781221518300,0.336518310546875,-0.9012590646743774,-0.23448441922664642,-0.2308066338300705
